baseMean log2FoldChange lfcSE stat pvalue padj Ascl1_motif
0610005C13Rik 3.56683352829822 -1.49671766621392 1.109404425884 -1.34911816763423 0.177299013693039 NA 0
0610007P14Rik 38.3099273449172 0.0937000906672099 0.224892461361702 0.416643982194268 0.676938833806104 0.905793582100728 0
0610009B22Rik 38.2340240341887 -0.794951047748044 0.258529787296771 -3.07489150886704 0.00210579138702153 0.0167107100668949 0
0610009L18Rik 0.442427904587401 -0.300428294936227 5.20511425867014 -0.0577179058914613 0.953973330633577 NA 0
0610009O20Rik 27.0733239335932 0.508590905749078 0.270821883417749 1.87795350704568 0.060387525613098 0.234640702318263 0
0610010B08Rik 3.78034459020172 -0.320692283815819 1.03486527321931 -0.309887955577246 0.756646162320405 NA 0
0610010F05Rik 5.61481454515889 0.0526886770646375 0.690203313622942 0.0763379080115824 0.939150267586112 0.985023260568506 0
0610010K14Rik 102.100340550489 -0.170973687682757 0.159944384373999 -1.06895711501173 0.285088993891744 0.630473307374464 0
0610011F06Rik 9.08876933274018 -0.27594740526457 0.535461888681422 -0.515344623207623 0.606312221847995 0.869648393709299 0
0610012G03Rik 8.89904711023396 0.0135501814586741 0.558894241986569 0.0242446252631096 0.980657482766591 0.994246225602606 0
0610030E20Rik 2.47846774637038 0.900882760184373 1.11817139846659 0.805675016745916 0.420430258449028 NA 0
0610031O16Rik 0 NA NA NA NA NA 0
0610037L13Rik 22.4314230566256 -0.0494038676199141 0.311143204735029 -0.158781766299498 0.873840814935044 0.970473851710641 0
0610038B21Rik 0 NA NA NA NA NA 0
0610039H22Rik 0 NA NA NA NA NA 0
0610039K10Rik 0 NA NA NA NA NA 0
0610040B10Rik 0.919768538371946 -0.878660645581012 2.23020803524006 -0.393981472444311 0.693594718120152 NA 0
0610040F04Rik 0.833434582226184 -0.319568484808523 2.19316807445047 -0.145710895818413 0.884149619558965 NA 0
0610040J01Rik 0.940998516257083 0.0800994744326681 1.99439314491733 0.0401623293966888 0.967963710170346 NA 0
0610043K17Rik 0.12509201603755 0 5.26764854491342 0 1 NA 0
1010001N08Rik 0 NA NA NA NA NA 0
1110001J03Rik 90.25041628713 -1.15492116549025 0.200423250947969 -5.76241109765288 8.29207232804869e-09 3.27303530247394e-07 0
1110002L01Rik 9.75123899227763 -1.0251114565946 0.565424816830725 -1.81299339201359 0.0698328405112453 0.258940967784276 0
1110004E09Rik 35.2290829941739 -0.523187933044219 0.255568535368337 -2.04715315322434 0.040643049460574 0.17538254850048 0
1110004F10Rik 180.102009163553 -0.540864558126103 0.132979678247959 -4.06727227236621 4.75666549872025e-05 0.000668278521068278 0
1110006O24Rik 2.34168688396555 0.0919531720030574 1.19911802750836 0.0766840043211811 0.938874929769737 NA 0
1110007C09Rik 17.3490199083382 0.122368152176607 0.333729172792884 0.366669030317436 0.713865910163891 0.921567233310826 0
1110008F13Rik 104.824212148549 -0.166750484682652 0.151676336842618 -1.09938364911644 0.2716007596954 0.612529242370185 0
1110008L16Rik 19.7197809487319 -0.375685588116784 0.354817769324084 -1.05881277826771 0.289685052980061 0.636124956947247 0
1110008P14Rik 37.4600800894036 0.0708285830774506 0.240080253084205 0.295020444903515 0.767978261665354 0.940806904455824 0
