baseMean log2FoldChange lfcSE stat pvalue padj NeuroD1_motif
0610005C13Rik 3.56683352829822 -0.0918795640928048 0.31029146025578 -0.283688375120836 0.776649204202589 NA 0
0610007P14Rik 38.3099273449172 0.0765188287194018 0.210512317366327 0.361205638040339 0.717945727715971 NA 0
0610009B22Rik 38.2340240341887 0.0424997298949007 0.203817467362046 0.195639786861202 0.844892116584623 NA 0
0610009L18Rik 0.442427904587401 0.0128425884999855 0.0814698739956327 0.142955071524724 0.886325664385985 NA 0
0610009O20Rik 27.0733239335932 -0.0450375724637047 0.24988425174779 -0.175014368795276 0.861068343174001 NA 0
0610010B08Rik 3.78034459020172 -0.0344028709695508 0.312514514257765 -0.107882929989934 0.914088557978906 NA 0
0610010F05Rik 5.61481454515889 0.115506899980547 0.328595995755185 0.346911323783346 0.728657939199022 NA 0
0610010K14Rik 102.100340550489 -0.282051405175151 0.157268213074106 -1.79338671912861 0.0729111096868814 0.225887446295056 0
0610011F06Rik 9.08876933274018 0.338182780397988 0.324372817264107 0.987900778357946 0.323201244226372 NA 0
0610012G03Rik 8.89904711023396 -0.0126090774995371 0.325759198382097 -0.0419395365607547 0.96654689849288 NA 0
0610030E20Rik 2.47846774637038 0.0284580602687494 0.280905484067608 0.12108499683128 0.903623712528301 NA 0
0610031O16Rik 0 NA NA NA NA NA 0
0610037L13Rik 22.4314230566256 -0.13888176550883 0.259437279832722 -0.535677076755379 0.592181749021567 NA 0
0610038B21Rik 0 NA NA NA NA NA 0
0610039H22Rik 0 NA NA NA NA NA 0
0610039K10Rik 0 NA NA NA NA NA 0
0610040B10Rik 0.919768538371946 0.0325758835700978 0.180963441284479 0.135115095978642 0.892520874763774 NA 0
0610040F04Rik 0.833434582226184 -0.159924953290038 0.174694077150392 -1.09898701166752 0.271773731238459 NA 0
0610040J01Rik 0.940998516257083 -0.0132127051031603 0.189802402907486 -0.066019734619202 0.947362113775768 NA 0
0610043K17Rik 0.12509201603755 -0.0169060033296889 0.0814698739956327 -0.207512329411424 0.835609764755492 NA 0
1010001N08Rik 0 NA NA NA NA NA 0
1110001J03Rik 90.25041628713 0.03379108775492 0.174414861413292 0.187102338711358 0.851580394514363 0.921769004711389 0
1110002L01Rik 9.75123899227763 -0.295257571379723 0.323539956080911 -0.899304944880828 0.3684902542096 NA 0
1110004E09Rik 35.2290829941739 -0.152056154927778 0.218371674770414 -0.698049923150409 0.485145973592557 NA 0
1110004F10Rik 180.102009163553 -0.0911050386793864 0.126671116683194 -0.720905123191181 0.470967890553246 0.663738223723663 0
1110006O24Rik 2.34168688396555 -0.0850234537877982 0.276877763324921 -0.305492607546758 0.759990999376593 NA 0
1110007C09Rik 17.3490199083382 0.0836529746110403 0.290624454718151 0.296962456785624 0.766495172000939 NA 0
1110008F13Rik 104.824212148549 -0.202658887661179 0.14566717164836 -1.39178630464892 0.163987118376517 0.356828275177054 0
1110008L16Rik 19.7197809487319 -0.301218651824905 0.270645095329819 -1.1097003205869 0.267128184715167 NA 0
1110008P14Rik 37.4600800894036 0.0897492069976312 0.213421379688325 0.415090667501263 0.678075531055006 NA 0
1110012L19Rik 18.2425581873942 -0.0838709254144368 0.27843342100698 -0.304783546834388 0.760531013427347 NA 0
1110015O18Rik 0 NA NA NA NA NA 0
1110017D15Rik 0.169495012166948 0 0.0814698739956327 0 1 NA 0
1110019D14Rik 2.16561318358362 -0.132963940325217 0.269704818160702 -0.4564234422082 0.648085511699626 NA 0
1110020A21Rik 0.489382576029702 0.0320131290903554 0.0874499455339318 0.352480439276164 0.724477985577163 NA 0
1110025L11Rik 0 NA NA NA NA NA 0
1110028F11Rik 0 NA NA NA NA NA 0
1110028F18Rik 0 NA NA NA NA NA 0
1110032A03Rik 1.94302531570118 0.0746007305368716 0.25608614993135 0.304659128237825 0.760625781518292 NA 0
1110032F04Rik 0.0598919897894584 0 0.0814698739956327 0 1 NA 0
1110034G24Rik 6.07280613317962 -0.17237572988717 0.32978859214881 -0.500116531780721 0.61699302624366 NA 0
1110036E04Rik 0 NA NA NA NA NA 0
1110037F02Rik 17.7176288153464 -0.0428853880642308 0.28427621981996 -0.148597293532401 0.881871408748075 NA 0
1110038B12Rik 305.012407181231 -0.00564375625516446 0.119714194254605 -0.0485422318778921 0.961284107922064 0.983824562866444 0
1110038F14Rik 41.3289883962014 -0.108131588729317 0.207795827439809 -0.521693097225651 0.601884031562054 NA 0
1110046J04Rik 0 NA NA NA NA NA 0
1110051M20Rik 3.9571283444133 0.143185794599593 0.315989401401343 0.449922186604696 0.652766549212224 NA 0
1110058D11Rik 0 NA NA NA NA NA 0
1110059E24Rik 25.1631819805563 0.0262985377184248 0.250686362076745 0.0941800185321375 0.924966157115949 NA 0
1110059G10Rik 2.60102464779003 0.109241369338425 0.28660168577558 0.343042768662311 0.731566285389992 NA 0
1110065P20Rik 19.3438373570528 0.117072242305845 0.275361362842965 0.416001747060101 0.677408724808763 NA 0
1190002F15Rik 6.71606857729568 0.0332690806207544 0.330101726163571 0.0840329459865663 0.933030237289521 NA 0
1190002N15Rik 5.6648019412018 -0.178585690466604 0.327926232321184 -0.56146328168279 0.574481754768525 NA 0
1190003K10Rik 0 NA NA NA NA NA 0
1190005I06Rik 13.9810978830654 -0.19147214068924 0.32123516266313 -0.606199004996451 0.544382613438332 NA 0
1190007I07Rik 30.8847359735707 -0.315072888486201 0.231270365199702 -1.35882761732788 0.174201219740101 NA 0
1200014J11Rik 13.9574098212779 -0.0562231750037016 0.303752829731621 -0.182678655919355 0.8550501640374 NA 0
1300002E11Rik 6.91084406864951 -0.043909088484135 0.330116446846172 -0.138347347406671 0.889965907431811 NA 0
1300017J02Rik 0 NA NA NA NA NA 0
1500004A13Rik 1.62292662883834 -0.0146006360094553 0.241394660721675 -0.0617696146937517 0.950746301226147 NA 0
1500009C09Rik 0 NA NA NA NA NA 0
1500009L16Rik 35.3826712421211 0.0598077996182959 0.23085228892993 0.265960986520638 0.790269255428444 NA 0
1500011B03Rik 7.01962175546134 0.018793893667741 0.330090796619305 0.0547779003623447 0.956315406918128 NA 0
1500011K16Rik 13.0827512123482 -0.104564613154787 0.310958525863186 -0.335732780881354 0.73707238362877 NA 0
1500012F01Rik 107.066698343717 0.336702375039667 0.196227803920691 1.70304458789127 0.0885597245223934 0.25175233117791 0
1500012K07Rik 0 NA NA NA NA NA 0
1500015A07Rik 2.37004028813651 -0.0298795550490118 0.278675859770382 -0.108375630288775 0.91369773147291 NA 0
1500015L24Rik 0 NA NA NA NA NA 0
1500015O10Rik 0.917033138175014 0.0321668209122841 0.179675412850004 0.134402696392681 0.893084149568418 NA 0
1500017E21Rik 0 NA NA NA NA NA 0
1500026H17Rik 0 NA NA NA NA NA 0
1600002D24Rik 0 NA NA NA NA NA 0
1600002H07Rik 8.11573970867403 -0.0312207751717812 0.328331372909569 -0.0937848223510417 0.925280088548954 NA 0
1600002K03Rik 10.9529092245909 -0.0528873096894386 0.317812520954457 -0.169014118756295 0.865785536003281 NA 0
1600010M07Rik 0 NA NA NA NA NA 0
1600012H06Rik 3.90104682703007 0.0517239428193818 0.316079252156655 0.161212279521444 0.871926209961263 NA 0
1600014C10Rik 2.21992779712951 -0.0287809195850408 0.272773718265636 -0.105844413019482 0.915705798188608 NA 0
1600014C23Rik 0 NA NA NA NA NA 0
1600014K23Rik 0.143943098160321 0 0.0814698739956327 0 1 NA 0
1600015I10Rik 0 NA NA NA NA NA 0
1600019K03Rik 0 NA NA NA NA NA 0
1600020E01Rik 9.39240445515881 0.168945410894145 0.323992274406793 0.476808058599741 0.633498806778996 NA 0
1600023N17Rik 0 NA NA NA NA NA 0
1600025M17Rik 0 NA NA NA NA NA 0
1600027J07Rik 0 NA NA NA NA NA 0
1600029I14Rik 0 NA NA NA NA NA 0
1600029O15Rik 0 NA NA NA NA NA 0
1700001C02Rik 0 NA NA NA NA NA 0
1700001C19Rik 0.143943098160321 0 0.0814698739956327 0 1 NA 0
1700001D01Rik 0 NA NA NA NA NA 0
1700001F09Rik 0 NA NA NA NA NA 0
1700001G01Rik 0 NA NA NA NA NA 0
1700001G11Rik 0.0592751597091447 0.0128425884999855 0.0814698739956327 0.157636042258687 0.874743601019917 NA 0
1700001G17Rik 0 NA NA NA NA NA 0
1700001J03Rik 0 NA NA NA NA NA 0
1700001J11Rik 0 NA NA NA NA NA 0
1700001K19Rik 0 NA NA NA NA NA 0
1700001K23Rik 0 NA NA NA NA NA 0
1700001L05Rik 5.61351306475621 0.153235380637101 0.328477514876622 0.452784982623836 0.65070357832402 NA 0
1700001L19Rik 0 NA NA NA NA NA 0
1700001O22Rik 0.601021161195138 -0.0623919516640062 0.119878269852817 -0.547530192627969 0.584014533463411 NA 0
1700001P01Rik 1.80299601312235 -0.123787741334945 0.246998206045645 -0.494698683599861 0.62081283090232 NA 0
1700003C15Rik 0 NA NA NA NA NA 0
1700003D09Rik 0 NA NA NA NA NA 0
1700003E16Rik 0.323587590135864 0 0.0814698739956327 0 1 NA 0
1700003E24Rik 0 NA NA NA NA NA 0
1700003F12Rik 0 NA NA NA NA NA 0
1700003G13Rik 0 NA NA NA NA NA 0
1700003G18Rik 0 NA NA NA NA NA 0
1700003H04Rik 0 NA NA NA NA NA 0
1700003I22Rik 0 NA NA NA NA NA 0
1700003L19Rik 0 NA NA NA NA NA 0
1700003M02Rik 0 NA NA NA NA NA 0
1700003M07Rik 0.735722355547829 0 0.142840068411009 0 1 NA 0
1700003P14Rik 0 NA NA NA NA NA 0
1700006A11Rik 0 NA NA NA NA NA 0
1700006E09Rik 0 NA NA NA NA NA 0
1700006F04Rik 0 NA NA NA NA NA 0
1700006H21Rik 0 NA NA NA NA NA 0
1700007B14Rik 0 NA NA NA NA NA 0
1700007F19Rik 0 NA NA NA NA NA 0
1700007G11Rik 0.143943098160321 0 0.0814698739956327 0 1 NA 0
1700007J10Rik 0 NA NA NA NA NA 0
1700007K09Rik 0 NA NA NA NA NA 0
1700007K13Rik 11.8139449152969 -0.288883719497537 0.31771540174802 -0.907691788819846 0.36404108341784 NA 0
1700007L15Rik 4.71254374311129 0.111441490102208 0.323320391115107 0.318441866174766 0.750149785156381 NA 0
1700007P06Rik 0 NA NA NA NA NA 0
1700008C04Rik 0 NA NA NA NA NA 0
1700008J07Rik 1.00770541100591 -0.0148783447141694 0.204520787832395 -0.0712101138292634 0.943230532181564 NA 0
1700008K24Rik 0 NA NA NA NA NA 0
1700008O03Rik 1.44295565406249 0.0840139960021139 0.230238501540328 0.366221247064926 0.714199988974238 NA 0
1700008P02Rik 0 NA NA NA NA NA 0
1700009C05Rik 0 NA NA NA NA NA 0
1700009J07Rik 0 NA NA NA NA NA 0
1700009N14Rik 0 NA NA NA NA NA 0
1700010B08Rik 0 NA NA NA NA NA 0
1700010D01Rik 0 NA NA NA NA NA 0
1700010I02Rik 0 NA NA NA NA NA 0
1700010I14Rik 0 NA NA NA NA NA 0
1700010J16Rik 0 NA NA NA NA NA 0
1700010K23Rik 0 NA NA NA NA NA 0
1700011A15Rik 0 NA NA NA NA NA 0
1700011B04Rik 0 NA NA NA NA NA 0
1700011C11Rik 0.049090664111819 0 0.0814698739956327 0 1 NA 0
1700011E24Rik 0 NA NA NA NA NA 0
1700011H14Rik 0 NA NA NA NA NA 0
1700011I03Rik 0 NA NA NA NA NA 0
1700011L22Rik 0 NA NA NA NA NA 0
1700011M02Rik 0 NA NA NA NA NA 0
1700012A03Rik 0 NA NA NA NA NA 0
1700012B07Rik 0 NA NA NA NA NA 0
1700012B09Rik 0 NA NA NA NA NA 0
1700012C14Rik 0.375315395721006 -0.0169060033296889 0.0814698739956327 -0.229001448201819 0.818867790531799 NA 0
1700012D01Rik 0.123041730333108 -0.0169060033296889 0.0814698739956327 -0.207512329411424 0.835609764755492 NA 0
1700012D14Rik 0 NA NA NA NA NA 0
1700012D16Rik 0 NA NA NA NA NA 0
1700012H19Rik 0 NA NA NA NA NA 0
1700012I11Rik 0 NA NA NA NA NA 0
1700012L04Rik 0 NA NA NA NA NA 0
1700012P22Rik 0 NA NA NA NA NA 0
1700013D24Rik 0 NA NA NA NA NA 0
1700013F07Rik 0 NA NA NA NA NA 0
1700013G24Rik 0 NA NA NA NA NA 0
1700013H16Rik 0.143943098160321 0 0.0814698739956327 0 1 NA 0
1700015E13Rik 0 NA NA NA NA NA 0
1700015F17Rik 0 NA NA NA NA NA 0
1700015G11Rik 0 NA NA NA NA NA 0
1700016C15Rik 0 NA NA NA NA NA 0
1700016D06Rik 0 NA NA NA NA NA 0
1700016G22Rik 0 NA NA NA NA NA 0
1700016H13Rik 0.312909771235573 -0.0466545951593633 0.0814698739956327 -0.496522026290671 0.619526150988183 NA 0
1700016K19Rik 0.842605515298555 0.0838186683116699 0.174838976519217 0.573035805235837 0.56662045097552 NA 0
1700016L04Rik 0 NA NA NA NA NA 0
1700016L21Rik 0 NA NA NA NA NA 0
1700016P04Rik 0 NA NA NA NA NA 0
1700017B05Rik 27.2332310990555 0.38605486608896 0.257160882028228 1.53442457944254 0.124925234568844 NA 0
1700017D01Rik 0 NA NA NA NA NA 0
1700017G19Rik 0 NA NA NA NA NA 0
1700017J07Rik 0.158295641807996 -0.0169060033296889 0.0814698739956327 -0.207512329411424 0.835609764755492 NA 0
1700017L05Rik 0 NA NA NA NA NA 0
1700017N19Rik 0 NA NA NA NA NA 0
1700018A04Rik 0 NA NA NA NA NA 0
1700018B08Rik 0.855097829115309 -0.0505361101124235 0.170203444452269 -0.224311824957396 0.822514675647081 NA 0
1700018B24Rik 0 NA NA NA NA NA 0
1700018C11Rik 0 NA NA NA NA NA 0
1700018F24Rik 0 NA NA NA NA NA 0
1700018G05Rik 0 NA NA NA NA NA 0
1700018L02Rik 0.0947514666120806 0 0.0814698739956327 0 1 NA 0
1700019A02Rik 4.6445574181439 -0.167783444992963 0.321621809334782 -0.492543015463359 0.622335520807072 NA 0
1700019B03Rik 0 NA NA NA NA NA 0
1700019B21Rik 0 NA NA NA NA NA 0
1700019C18Rik 0 NA NA NA NA NA 0
1700019D03Rik 25.4300135366116 -0.0290581709613053 0.253075367197707 -0.116878537705677 0.906956305999535 NA 0
1700019E08Rik 0 NA NA NA NA NA 0
1700019G17Rik 1.11156293249067 -0.0152014333932641 0.210678209189482 -0.0724954720159832 0.942207608797292 NA 0
1700019G24Rik 0.056649898132563 0 0.0814698739956327 0 1 NA 0
1700019L03Rik 0.04516668528702 0 0.0814698739956327 0 1 NA 0
1700019M22Rik 0 NA NA NA NA NA 0
1700019N19Rik 0 NA NA NA NA NA 0
1700019O17Rik 0 NA NA NA NA NA 0
1700020A23Rik 0 NA NA NA NA NA 0
1700020D05Rik 0 NA NA NA NA NA 0
1700020D14Rik 0 NA NA NA NA NA 0
1700020G17Rik 0 NA NA NA NA NA 0
