gene_id	gene_name	Ascl1_ASV_REP1	Ascl1_ASV_REP2	Ascl1_ASV_REP3	Ascl1_nonInduced_REP1	Ascl1_nonInduced_REP2	Ascl1_nonInduced_REP3	Empty_ASV_REP1	Empty_ASV_REP2	Empty_ASV_REP3	Empty_nonInduced_REP1	Empty_nonInduced_REP2	Empty_nonInduced_REP3	NeuroD1_ASV_REP1	NeuroD1_ASV_REP2	NeuroD1_ASV_REP3	NeuroD1_nonInduced_REP1	NeuroD1_nonInduced_REP2	NeuroD1_nonInduced_REP3
0610005C13Rik	0610005C13Rik	1.512814	1.303843	1.029089	4.217361	4.263291	5.258664	2.726237	2.57651	2.736964	5.443959	4.582488	3.985299	3.539714	3.169504	3.595968	4.170979	3.9634	4.378504
0610007P14Rik	0610007P14Rik	50.238435	47.837592	51.215712	33.088016	36.286218	33.543563	37.872848	34.013936	39.642189	38.261796	35.833511	35.021716	39.642985	40.827579	36.438486	31.280492	35.769799	34.169827
0610009B22Rik	0610009B22Rik	24.822016	27.874504	24.398764	35.552353	35.311933	36.400075	34.706179	37.754368	33.77652	33.853567	40.000511	38.258871	46.482583	47.776095	50.068114	49.189368	42.943956	35.672228
0610009L18Rik	0610009L18Rik	0.630882	0.524454	0.147387	0.311445	0.299738	0.531635	0.616238	0.424045	0.506179	0.397882	0.384464	0.224234	0.500306	0.619473	0.421876	0.579816	0.434855	0.356794
0610009O20Rik	0610009O20Rik	48.83612	37.375051	41.886156	28.298977	33.196463	28.767602	23.543532	22.954747	25.430673	24.696958	26.696181	25.739548	22.771754	21.544045	21.371651	18.49485	25.587927	18.81793
0610010B08Rik	0610010B08Rik	3.405525	0.820943	2.526281	5.007136	4.890296	5.302755	2.233298	2.489031	2.862365	3.903432	4.642555	3.688039	3.912608	5.119571	4.017281	5.251675	5.620668	1.533566
0610010F05Rik	0610010F05Rik	8.092316	7.19495	7.458823	5.459585	5.594147	5.799472	5.776465	5.34983	5.79386	4.076195	5.160469	4.769919	5.87429	5.550371	5.739807	5.148052	6.216926	3.44655
0610010K14Rik	0610010K14Rik	126.096305	107.899605	122.928759	92.295739	100.338666	89.500652	110.920294	100.610984	110.344207	109.844365	93.917573	97.210273	88.944117	89.523866	87.649825	86.47406	95.796677	117.312341
0610011F06Rik	0610011F06Rik	12.172308	9.400212	10.373048	6.67824	5.71747	6.206914	9.506903	9.692368	9.507319	5.583117	8.134401	6.415855	11.993081	12.557203	12.566362	7.627528	8.172218	7.940104
0610012G03Rik	0610012G03Rik	11.333655	9.371077	9.420635	9.882821	9.601939	8.916975	8.228162	7.400725	8.107566	8.898092	9.101507	8.691001	8.937494	9.258472	8.760776	8.270714	7.99773	8.554297
0610030E20Rik	0610030E20Rik	5.026908	4.359137	4.54042	2.574235	3.014853	2.757571	2.272787	2.056735	2.456884	2.26055	2.448592	2.359215	2.479848	2.109335	2.27766	1.625138	2.295444	1.246298
0610031O16Rik	0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	0610037L13Rik	27.17835	24.562328	24.036765	24.592304	24.866652	24.352047	22.18147	20.205516	21.391403	21.234705	22.390538	22.323276	20.197222	20.716614	21.161991	20.359168	23.116887	21.167007
0610038B21Rik	0610038B21Rik	0.062105	0.076789	0.107908	0.089775	0.066223	0.030553	0.127586	0.124458	0.050833	0.116367	0.089298	0.081801	0.048544	0.049455	0.061504	0.049229	0.018096	0.017249
0610039H22Rik	0610039H22Rik	0.053888	0.251984	0.113304	0.095769	0	0	0.086133	0.122244	0	0	0.049259	0.08619	0.042734	0.043293	0.092662	0	0.047756	0
0610039K10Rik	0610039K10Rik	0.267617	0.241556	0.311123	0.295093	0.394442	0.279845	0.471826	0.36272	0.325658	0.034907	0.067459	0.44263	0.204827	0.059288	0.348967	0.183126	0.130798	0.28172
0610040B10Rik	0610040B10Rik	0.408413	1.018545	0.572482	0.483887	0.436593	1.032492	0.544	1.132367	0.983052	1.159094	1.368895	1.197587	0.863687	1.749937	1.053421	0.900851	0.723886	0.923909
0610040F04Rik	0610040F04Rik	1.02229	0.515011	0.61761	0.927578	1.190955	1.136441	0.556673	0.549412	0.621823	1.053941	0.841286	0.634076	0.499369	0.350233	0.374813	0.535348	0.643907	0.780738
0610040J01Rik	0610040J01Rik	1.708444	1.299117	1.14143	0.524957	0.699806	0.711432	0.854953	0.748557	0.704588	0.392724	0.54003	0.497987	1.329518	0.936405	1.002123	0.660346	0.665052	0.893968
0610043K17Rik	0610043K17Rik	0.070288	0.39441	0.369469	0.749498	0.375691	0.333175	0.337043	0.372047	0.22558	0.332469	0.257006	0.449687	0.445925	0.225875	0.181295	0.174418	0.311455	0.596273
1010001N08Rik	1010001N08Rik	0	0	0	0	0.057606	0	0	0.046459	0	0	0	0	0.048723	0	0	0.05082	0	0
