Gene_id	Ascl1_2h_1	Ascl1_2h_2	Ascl1_2h_3	Ascl1_4h_1	Ascl1_4h_2	Ascl1_4h_3	Ascl1_6h_1	Ascl1_6h_2	Ascl1_6h_3	Empty_2h_1	Empty_2h_2	Empty_2h_3	Empty_4h_1	Empty_4h_2	Empty_4h_3	Empty_6h_2	Empty_6h_3
0610009B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2
0610009E02Rik	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0
0610009L18Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0610010K14Rik	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1
0610012G03Rik	0	0	0	0	2	0	0	0	0	0	5	3	11	1	1	0	22
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	0	0	0	0	0	0	0	0	0	0	27	19	20	7	8	0	1
0610038B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	2	6	1	11	0	0
0610040B10Rik	0	0	0	0	0	0	1	0	0	0	0	3	5	0	5	0	1
0610040J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	0	0	0	3	0	0	0	0	0	0	30	5	9	0	0	2	1
1110004F10Rik	0	0	0	0	0	0	0	0	0	0	20	18	15	1	2	2	20
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110035H17Rik	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	1	0
1110038F14Rik	0	0	0	0	0	0	0	0	0	0	14	5	20	0	9	3	28
1110046J04Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
1110051M20Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	0	0	0	0	0	0	0	0	0	1	26	5	9	2	0	0	6
1110059G10Rik	0	0	0	0	0	0	0	0	0	0	27	6	22	4	7	0	0
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	1	6
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	0	4	2	0	4	0	0
1190007I07Rik	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	2	0
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1300002E11Rik	0	5	0	0	4	0	0	0	0	0	0	11	10	0	2	0	0
1300014J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	0	0	9	17	8	3	5	1	3
1500011B03Rik	0	0	0	0	0	0	0	0	0	0	0	5	20	2	2	4	3
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	0	0	0	0	0	0	0	0	0	0	36	4	18	2	2	0	4
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
