Gene_id	Ascl1_2h_2	Ascl1_2h_3	Ascl1_4h_1	Ascl1_4h_2	Ascl1_4h_3	Ascl1_6h_2	Ascl1_6h_3	Empty_2h_1	Empty_2h_2	Empty_2h_3	Empty_4h_1	Empty_4h_2	Empty_4h_3	Empty_6h_2	Empty_6h_3
0610009B22Rik	2	0	0	0	0	0	0	0	0	0	0	3	3	7	0
0610009E02Rik	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0610009L18Rik	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0610010K14Rik	1	0	0	0	0	0	0	0	0	0	2	4	1	4	0
0610012G03Rik	22	0	0	0	0	0	0	0	0	5	3	11	5	7	0
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1	0	0	0	0	0	0	1	0	27	19	20	11	12	0
0610038B21Rik	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	2	6	6	2	0
0610040B10Rik	1	0	0	0	0	1	0	1	0	0	3	5	0	3	0
0610040J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	3	0	0	0	0	0	0	0	0	0	0	0	4	1	0
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	1	0	0	0	0	0	0	0	0	30	5	9	5	3	2
1110004F10Rik	20	0	0	0	0	0	0	0	0	20	18	15	10	10	2
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
