Gene_id	Empty_ASV_2h_1	Empty_ASV_2h_2	Empty_ASV_2h_3	Empty_ASV_4h_1	Empty_ASV_4h_2	Empty_ASV_4h_3	Empty_DMSO_2h_1	Empty_DMSO_2h_2	Empty_DMSO_2h_3	Empty_DMSO_4h_1	Empty_DMSO_4h_2	Empty_DMSO_4h_3	Ascl1_ASV_2h_1	Ascl1_ASV_2h_2	Ascl1_ASV_2h_3	Ascl1_ASV_4h_1	Ascl1_ASV_4h_2	Ascl1_ASV_4h_3	Ascl1_DMSO_2h_1	Ascl1_DMSO_2h_2	Ascl1_DMSO_2h_3	Ascl1_DMSO_4h_1	Ascl1_DMSO_4h_2	Ascl1_DMSO_4h_3
0610009B22Rik	114	0	34	101	119	0	0	11	0	0	11	0	19	7	0	87	30	33	29	64	23	12	26	37
0610009E02Rik	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0	3	0	1	0	1	0	0	0	0
0610009L18Rik	0	0	1	4	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	2	1	0	0	2
0610010K14Rik	86	0	35	133	135	0	0	6	0	19	26	0	10	9	0	78	12	29	46	124	16	11	21	34
0610012G03Rik	46	0	26	99	94	0	0	29	0	17	33	0	8	17	0	91	12	8	36	78	8	7	10	12
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	26	0	21	69	61	0	0	6	0	4	15	0	12	10	0	42	4	10	40	23	7	7	9	3
0610038B21Rik	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
0610039K10Rik	16	12	20	163	104	0	0	12	0	7	23	0	10	17	0	50	8	15	100	46	19	12	6	4
0610040B10Rik	16	0	8	42	23	0	0	4	0	2	4	0	4	2	0	18	1	2	18	12	0	1	0	2
0610040J01Rik	0	0	0	4	3	0	0	1	0	0	3	0	1	0	0	1	0	0	1	6	1	0	0	3
0610043K17Rik	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
1110002O04Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1110003F10Rik	22	0	8	37	58	0	0	6	0	5	6	0	5	7	0	22	4	7	27	15	6	5	5	9
1110004F10Rik	40	0	32	37	53	0	0	10	0	0	18	0	9	11	0	51	8	11	21	49	10	8	6	15
1110008E08Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1110019D14Rik	4	0	2	4	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1110032A03Rik	12	1	4	43	50	0	0	12	0	5	13	0	6	6	0	25	5	5	11	22	9	6	10	5
1110032F04Rik	8	0	0	5	5	0	0	0	0	0	0	0	1	0	0	13	4	8	1	2	3	5	1	0
1110035H17Rik	4	0	1	24	9	0	0	2	0	0	2	0	3	1	0	1	1	2	28	16	1	0	0	0
1110038F14Rik	68	0	22	100	97	0	0	8	1	4	30	0	10	21	0	94	5	4	43	43	27	6	8	12
1110046J04Rik	2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1
1110051M20Rik	0	0	0	2	6	0	0	1	0	0	1	0	1	0	0	1	1	0	1	3	3	0	1	1
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	24	0	2	16	23	0	0	6	0	15	9	0	1	6	0	18	3	5	11	5	1	4	4	2
1110059G10Rik	38	0	18	95	98	0	0	11	3	8	11	0	13	9	0	82	6	10	84	44	13	8	6	13
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	18	0	13	47	48	0	0	5	0	10	16	0	3	7	0	38	4	5	9	23	3	1	4	4
1190005I06Rik	12	0	10	8	9	0	0	7	0	2	3	0	2	3	0	11	0	1	1	6	1	0	2	4
1190007I07Rik	2	0	4	2	11	0	0	0	0	0	0	0	5	2	0	5	1	5	3	10	2	1	1	0
1190028D05Rik	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	4	0	1	0	0	2	0	2	0
1300002E11Rik	4	0	3	16	3	0	0	0	0	1	3	0	3	1	0	10	2	2	17	2	0	2	2	3
1300014J16Rik	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1300017J02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	8	0	1	17	5	0	0	5	0	2	6	0	0	2	0	14	1	0	4	0	0	0	1	0
1500009L16Rik	26	1	14	107	72	0	0	8	0	2	16	0	13	6	0	34	3	2	27	23	5	5	8	10
1500011B03Rik	78	2	58	378	288	0	0	58	0	5	77	0	47	48	0	192	15	24	169	178	40	38	37	50
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	14	0	19	69	46	0	0	6	0	0	5	0	1	8	0	22	1	10	19	36	6	3	6	2
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500026H17Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1500035N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1520401A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	88	0	53	204	138	0	0	17	0	10	29	0	40	15	0	121	15	28	68	137	27	23	22	55
1600014C10Rik	10	0	6	23	20	0	0	1	0	0	11	0	3	2	0	17	0	2	9	17	8	3	2	6
1600014C23Rik	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	26	0	8	48	34	0	0	5	0	0	7	0	3	6	0	17	3	1	19	23	2	5	3	1
