"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",3.56683352829822,-0.354049986657228,0.308140899530771,-1.34911816763423,0.177299013693039,NA
"0610007P14Rik",38.3099273449172,0.086047654691817,0.201839585774909,0.416643982194268,0.676938833806104,0.905793582100728
"0610009B22Rik",38.2340240341887,-0.68189211897957,0.22175708996855,-3.07489150886704,0.00210579138702153,0.0167107100668949
"0610009L18Rik",0.442427904587401,-0.00548858843566112,0.0815424085209167,-0.0577179058914613,0.953973330633577,NA
"0610009O20Rik",27.0733239335932,0.444003692264846,0.231881705445457,1.87795350704568,0.060387525613098,0.234640702318263
"0610010B08Rik",3.78034459020172,-0.0934209270178362,0.310006006340273,-0.309887955577246,0.756646162320405,NA
"0610010F05Rik",5.61481454515889,0.029638772545095,0.329525198733798,0.0763379080115824,0.939150267586112,0.985023260568506
"0610010K14Rik",102.100340550489,-0.161227304989369,0.151211862739385,-1.06895711501173,0.285088993891744,0.630473307374464
"0610011F06Rik",9.08876933274018,-0.16599896247239,0.323633545115008,-0.515344623207623,0.606312221847995,0.869648393709299
"0610012G03Rik",8.89904711023396,0.00507187645507028,0.325069603386898,0.0242446252631096,0.980657482766591,0.994246225602606
"0610030E20Rik",2.47846774637038,0.261464177352601,0.287761935323248,0.805675016745916,0.420430258449028,NA
"0610031O16Rik",0,NA,NA,NA,NA,NA
"0610037L13Rik",22.4314230566256,-0.0406110828495687,0.254476519371645,-0.158781766299498,0.873840814935044,0.970473851710641
"0610038B21Rik",0,NA,NA,NA,NA,NA
"0610039H22Rik",0,NA,NA,NA,NA,NA
"0610039K10Rik",0,NA,NA,NA,NA,NA
"0610040B10Rik",0.919768538371946,-0.0672465629828808,0.183067142143708,-0.393981472444311,0.693594718120152,NA
"0610040F04Rik",0.833434582226184,-0.0279542214230411,0.178828432167466,-0.145710895818413,0.884149619558965,NA
"0610040J01Rik",0.940998516257083,0.0105004515605888,0.193252658546683,0.0401623293966888,0.967963710170346,NA
"0610043K17Rik",0.12509201603755,0,0.0814698739956326,0,1,NA
"1010001N08Rik",0,NA,NA,NA,NA,NA
"1110001J03Rik",90.25041628713,-1.05413508553165,0.182594950146441,-5.76241109765288,8.29207232804869e-09,3.27303530247394e-07
"1110002L01Rik",9.75123899227763,-0.578744135763124,0.324354848809518,-1.81299339201359,0.0698328405112453,0.258940967784276
"1110004E09Rik",35.2290829941739,-0.453883731473177,0.221495087036199,-2.04715315322434,0.040643049460574,0.17538254850048
"1110004F10Rik",180.102009163553,-0.519652558131345,0.127741559172142,-4.06727227236621,4.75666549872025e-05,0.000668278521068278
"1110006O24Rik",2.34168688396555,0.0199312754560525,0.280233186161097,0.0766840043211811,0.938874929769737,NA
"1110007C09Rik",17.3490199083382,0.112051697492977,0.268828348478582,0.366669030317436,0.713865910163891,0.921567233310826
"1110008F13Rik",104.824212148549,-0.158395713119404,0.14407411364333,-1.09938364911644,0.2716007596954,0.612529242370185
"1110008L16Rik",19.7197809487319,-0.291165659515695,0.27337733715252,-1.05881277826771,0.289685052980061,0.636124956947247
"1110008P14Rik",37.4600800894036,0.062212915982017,0.211832585066415,0.295020444903515,0.767978261665354,0.940806904455824
"1110012L19Rik",18.2425581873942,-0.169223106912892,0.277624975577307,-0.609292261022759,0.542330735820631,0.834609743925079
"1110015O18Rik",0,NA,NA,NA,NA,NA
"1110017D15Rik",0.169495012166948,-0.0346900393540765,0.0814698739956326,-0.409031788889696,0.682516332585145,NA
"1110019D14Rik",2.16561318358362,-0.111931322502368,0.271198035524821,-0.43990995193587,0.660002327703375,NA
"1110020A21Rik",0.489382576029702,0.00845759766303923,0.0877967161338641,0.0554666299619331,0.95576671443961,NA
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110028F11Rik",0,NA,NA,NA,NA,NA
"1110028F18Rik",0,NA,NA,NA,NA,NA
"1110032A03Rik",1.94302531570118,0.0636436663004888,0.261630562686255,0.203277603116441,0.838918060190154,NA
"1110032F04Rik",0.0598919897894584,-0.0198157434392393,0.0814698739956326,-0.243226757304183,0.807829739808578,NA
"1110034G24Rik",6.07280613317962,-0.224500698811324,0.329306025259977,-0.697593154641907,0.485431663764702,0.79735512145141
"1110036E04Rik",0,NA,NA,NA,NA,NA
"1110037F02Rik",17.7176288153464,0.177246848907045,0.275186724273222,0.634180690948821,0.52596290741447,0.823584027100316
"1110038B12Rik",305.012407181231,-0.788447781315965,0.120856814446025,-6.5223315120359,6.92228042499748e-11,4.47640800816503e-09
"1110038F14Rik",41.3289883962014,-0.20658641166862,0.20200970025917,-1.02489540634447,0.305412542348752,0.654158224368315
"1110046J04Rik",0,NA,NA,NA,NA,NA
"1110051M20Rik",3.9571283444133,0.23171824757515,0.319718334140439,0.6530157763952,0.513746107788472,0.817034481875105
